M0002A	2	20161026	Renaudie	from Janus
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS		
1	0	1.28		
2	1.5	2.58		
3	6.5	11.76		
4	11.5	16.79		
5	16.5	18.96		
6	21.5	26.7		
7	26.5	30.59		
8	31	34.53		
9	36	40.36		
10	41	44.96		
11	46	50.44		
12	50	53.29		
13	55	56.69		
14	60	63.4		
15	65	69.21		
16	69	72.53		
17	74	76.1		
18	78	80.15		
19	81.2	82.26		
20	86.2	90.97		
21	91.2	94.71		
22	96.2	96.59		
23	101.2	102.53		
24	106.2	110.91		
25	110.2	114.12		
26	115.2	117.34		
27	120.2	123.88		
28	125.2	127.54		
29	128.2	132.17		
30	133.2	136.99		
31	134.7	136.2		
32	139.7	145.02		
33	144.2	148.07		
34	149	152.05		
35	154	159.48		
36	159	159.21		
37	163.5	166.93		
38	166.5	171.81		
39	170.68	171.71		
40	173.08	178.36		
41	178.08	178.25		
42	182.49	187.41		
43	187.49	192.02		
44	191.99	195.93		
45	195.93	197.42		
46	197	200.63		
47	202	207.49		
48	205.5	210.7		
49	210	215.5		
50	215	217.24		
51	218.74	221.42		
52	220.94	222.89		
53	225	230.29		
54	230	230.51		
55	235	240.41		
56	239.6	243.24		
57	244.6	250.11		
58	249.6	254.82		
59	254.6	259.07		
60	257.6	262.51		
61	262.6	265.45		
62	267.6	271.69		
