1405A	2.00	20020627
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.00	0.10
2	6.20	5.95
3	15.70	20.05
4	25.20	30.35
5	34.70	42.05
6	44.20	57.75
7	53.70	80.25
8	63.20	91.35
9	72.20	104.79
10	82.20	116.03
11	91.70	126.73
12	101.20	136.63
13	110.70	148.28
14	120.20	160.58
15	129.70	170.56
16	139.20	180.41
17	148.70	191.91
18	158.20	201.73
19	167.70	212.33
20	177.20	232.53
21	186.70	242.38
22	196.20	252.08
23	205.70	263.03
24	215.20	273.63
25	224.70	283.63
26	234.20	293.18
27	241.90	300.93
28	251.50	310.54
29	261.10	320.15
30	270.70	329.76
31	280.30	339.37
32	289.80	348.88
33	299.20	358.29
