968A	2.00	19990113	1	From IR ODP 160, p.293
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	9.07
2	9.0	19.05
3	18.5	28.39
4	28.0	37.98
5	37.5	47.61
6	47.0	56.81
7	56.5	66.68
8	66.0	74.72
9	75.5	85.60
10	85.0	94.82
11	94.5	104.23
12	104.1	114.00
13	113.7	121.29
14	123.3	132.48
15	132.9	132.90
16	142.9	151.82
17	152.2	161.98
18	161.8	171.58
19	171.5	176.58
20	181.1	182.48
21	190.7	191.02
22	194.0	195.48
23	196.0	197.97
24	200.4	204.97
25	210.1	213.46
26	219.7	225.71
27	229.3	233.38
28	238.9	247.17
29	248.6	254.48
30	258.2	267.89
31	267.8	274.60
32	277.4	286.33
33	287.0	296.33
34	296.6	298.21
