1021C	2.00	20010403	1	From IR ODP 167, p.436
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS		
1	0	2.59		
2	2.6	12.58		
3	12.1	21.71		
4	21.6	31.50		
5	31.1	41.17		
6	40.6	50.58		
7	50.1	59.92		
8	59.6	69.33		
9	69.1	78.80		
10	78.6	88.51		
11	88.1	98.04		
12	97.6	107.61		
13	107.1	116.96		
14	116.6	126.48		
15	126.1	136.03
16	135.6	145.58
17	145.1	154.74
18	154.6	164.46
