1240A	2.00	20020625	1
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS	
1	0.00	3.54	
2	3.50	12.61	
3	13	22.84	
4	22.5	32.39	
5	32	41.81	
6	41.5	51.31	
7	51	60.94	
8	60.5	70.21	
9	70	79.97	
10	79.5	88.75	
11	89	98.82	
12	98.5	108.14	
13	108	117.96	
14	117.5	127.45	
15	127	236.94	
16	136.5	146.58	
17	146	155.97	
18	155.5	165.63	
19	165	174.89	
20	174.5	184.45	
21	184	193.79	
22	193.5	203.51	
23	203	213	
24	212.5	222.41	
25	222	232.06	
26	231.5	241.52	
27	241	251.14	
28	250	254.37
