1128B	2.00	20020416	1	From IR ODP 182, CD-ROM,ch.6,p.87-88
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	5.66
2	5.7	15.53
3	15.2	23.72
4	24.7	34.02
5	34.2	43.72
6	43.7	53.58
7	53.2	62.61
8	62.7	72.50
9	72.2	81.84
10	81.7	91.65
11	91.2	94.28
12	100.7	110.59
13	110.2	119.68
14	119.7	129.61
15	129.2	137.79
16	137.8	147.67
17	145.8	152.30
18	155.4	159.66
19	165.1	174.86
20	174.7	184.42
21	184.3	184.30
22	193.9	203.19
23	203.5	213.34
24	213.1	222.79
25	222.7	232.51
26	232.4	242.13
27	242.1	247.45
28	251.8	254.69
29	261.5	262.62
30	271.1	272.86
