1171C	2.00	20020820	1	From IR ODP 189, CD-ROM,ch.6,p.127
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	9.70
2	9.5	19.29
3	19.0	28.61
4	28.5	37.85
5	38.0	47.91
6	47.5	57.49
7	57.0	67.18
8	66.5	75.39
9	76.0	85.69
10	85.5	94.98
11	95.0	104.20
12	104.5	109.97
13	110.2	115.77
14	115.2	123.54
15	124.8	134.50
16	134.5	139.71
17	144.1	150.23
18	153.7	162.98
19	163.3	172.81
20	172.9	181.17
21	182.2	190.16
22	191.8	198.98
23	201.5	210.17
24	211.1	219.79
25	220.7	228.53
26	230.3	237.61
27	239.6	247.38
28	248.9	253.84
29	258.5	264.88
30	268.1	273.02
31	273.5	274.65
