781A	2.00	19911009	1	Extracted from CD-ROM
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	 0 	 6.9 
2	 6.9 	 6.9 
3	 16.4 	 16.4 
4	 25.9 	 26.67 
5	 35.4 	 35.6 
6	 44.9 	 51.81 
7	 54.5 	 58.91 
8	 64.5 	 67.35 
9	 72.6 	 76.35 
10	 82.3 	 84.88 
11	 91.8 	 91.8 
12	 101.4 	 101.41 
13	 111.1 	 111.1 
14	 120.7 	 120.76 
15	 130.4 	 130.41 
16	 140 	 140.13 
17	 149.6 	 149.6 
18	 159.3 	 159.32 
19	 168.9 	 168.9 
20	 178.6 	 178.6 
21	 188.2 	 188.78 
22	 197.9 	 198.05 
23	 207.6 	 207.62 
24	 217.3 	 217.44 
25	 226.9 	 227.06 
26	 236.5 	 237.04 
27	 246 	 250 
