1404A	2.00	20020627
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	4.7
2	4.7	14.2
3	14.2	23.7
4	23.7	33.2
5	33.2	42.7
6	42.7	52.2
7	52.2	61.7
8	61.7	71.2
9	71.2	80.7
10	80.7	90.2
11	90.2	96.2
12	96.3	105.7
13	105.7	115.2
14	115.2	124.7
15	124.7	134.2
16	134.2	143.7
17	143.7	153.2
18	153.2	162.7
19	162.7	172.2
20	172.2	181.7
21	181.7	191.2
22	191.2	164.9
23	194.9	204.3
24	204.3	212.8
25	212.8	220.5
26	220.5	228.6
27	228.6	236.5
28	236.5	244.1
29	244.1	253.0
30	253.0	259.7
31	259.7	265.3
32	265.3	272.0
33	271.0	280.7
34	280.7	289.4
35	289.4	299.1
36	299.1	308.8
