1257A	2.00	19910225	1	Extracted from CD-ROM
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS		
1	0.00	2.59		
2	2.60	12.49		
3	12.10	22.12		
4	21.60	31.60		
5	31.10	41.00		
6	40.60	46.81		
7	44.90	52.61		
8	54.10	61.97		
9	63.70	70.43		
10	73.30	81.56		
11	83.00	85.28		
12	92.60	98.37		
13	102.20	111.86		
14	111.80	120.88		
15	121.50	131.37		
16	131.10	138.42		
17	140.70	149.13		
18	150.30	160.03		
19	159.70	161.72		
20	169.40	178.11		
21	179.00	180.22		
22	188.60	191.18		
23	198.20	206.72		
24	207.60	212.42		
25	217.20	219.36		
26	226.80	236.76		
27	236.50	244.13		
28	246.20	251.98		
29	255.80	265.71		
30	265.40	275.37		
31	275.10	276.47
