847B	2.00	19951106	1	From IR DSDP, 138/part 1, p. 346
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	6.59
2	6.5	16.08
3	18.0	26.02
4	25.5	35.58
5	35.0	45.09
6	44.5	54.60
7	54.0	64.10
8	63.5	72.83
9	73.0	83.10
10	82.5	92.68
11	92.0	101.56
12	101.5	111.58
13	111.0	121.05
14	120.5	130.35
15	130.0	139.81
16	139.5	148.98
17	145.8	154.13
18	155.4	165.39
19	164.7	174.52
20	173.9	183.24
21	183.5	193.35
22	193.2	202.97
23	202.8	212.43
24	212.5	221.27
25	222.2	232.01
26	231.9	232.04
27	241.4	241.54
