809F	2.00	19911009	1	Extracted from CD-ROM
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	 5.9 	 6.03 
2	 6.2 	 6.9 
3	 6.9 	 6.9 
4	 9 	 9 
5	 10.6 	 10.6 
6	 13.7 	 13.8 
7	 13.8 	 13.9 
8	 13.9 	 14 
9	 14 	 14.13 
10	 14.4 	 14.54 
11	 14.6 	 16.47 
12	 17.4 	 18.15 
13	 19.4 	 20.5 
14	 20.5 	 22.29 
15	 23.5 	 23.64 
16	 23.8 	 24.99 
17	 26.3 	 27.78 
18	 29.3 	 29.57 
19	 32.3 	 32.3 
20	 35.3 	 35.3 
21	 38.3 	 38.3 
22	 41.6 	 41.69 
23	 44.2 	 44.2 
24	 44.7 	 44.7 
25	 48.5 	 48.5 
26	 50.5 	 50.5 
27	 53.5 	 53.5 
28	 59.3 	 59.3 
29	 74.1 	 74.1 
30	 77.6 	 77.6 
31	 78.1 	 78.1 
32	 78.7 	 78.78 
33	 78.8 	 78.81 
34	 78.6 	 78.94 
