1242A	2.00	20020625	1
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS	
1	0.00	6.70	
2	6.70	16.51	
3	16.20	26.17	
4	25.70	35.70	
5	35.20	45.23	
6	44.70	54.70	
7	54.20	64.43	
8	63.70	73.74	
9	73.20	83.13	
10	82.70	92.76	
11	92.20	101.74	
12	101.70	111.80	
13	111.20	121.20	
14	120.70	130.70	
15	130.20	139.85	
16	139.70	149.98	
17	149.20	159.08	
18	158.70	168.77	
19	168.20	176.1	
20	176	184	
21	184	193.58	
22	193.60	203.29	
23	203.30	212.84	
24	212.60	222.41	
25	222.30	232.04	
26	231.60	241.41	
27	241.20	251.05	
