893A	2.00	19960730	1	From IR ODP, 146/part 2, p. 16
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SED
1	0	6.57
2	6.5	16.58
3	16.5	26.70
4	25.5	35.67
5	35.0	44.50
6	44.5	54.73
7	54.0	64.34
8	63.5	73.87
9	73.0	83.50
10	82.5	92.62
11	92.0	100.81
12	101.5	111.58
13	111.0	121.30
14	120.5	130.50
15	130.0	140.17
16	139.5	149.66
17	149.0	158.70
18	158.5	168.35
19	168.0	177.25
20	177.5	187.12
21	187.0	195.79
