851B	2.00	19951106	1	From IR ODP, 138/part 2, p. 898
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	7.58
2	7.5	17.17
3	17.0	27.10
4	26.5	36.41
5	36.0	45.89
6	45.5	55.60
7	55.0	65.04
8	64.5	74.54
9	74.0	84.14
10	83.5	93.46
11	93.0	103.01
12	102.5	112.61
13	112.0	122.15
14	121.5	131.37
15	131.0	140.89
16	140.5	150.00
17	150.1	159.87
18	159.8	169.49
19	169.4	179.03
20	179.1	188.93
21	188.3	197.14
22	197.5	207.29
23	207.1	216.87
24	216.8	226.56
25	226.4	236.19
26	236.1	245.25
27	245.8	255.68
28	255.5	265.14
29	265.1	272.83
30	274.8	274.80
31	284.0	293.96
32	293.6	302.94
33	303.2	313.13
34	312.9	321.49
