Paleomag Scale
paleomag_scale_name	chron_name	chron_alias	chron_polarity_dir	chron_age_min_ma	chron_age_max_ma	chron_id	parent_chron_id
CK95	C6Cn.1r		R	23.535	23.677	367	365
CK95	C6Cn.2n		N	23.677	23.800	368	365
CK95	C6Cn.2r		R	23.800	23.999	369	365
CK95	C6Cn.3n		N	23.999	24.118	370	365
CK95	C6Cr		R	24.118	24.730	371	365
CK95	C7			24.730	25.496	372	372
CK95	C7n.1n		N	24.730	24.781	373	372
CK95	C7n.1r		R	24.781	24.835	374	372
CK95	C7n.2n		N	24.835	25.183	375	372
CK95	C7r		R	25.183	25.496	376	372
CK95	C7A			25.496	25.823	377	377
CK95	C7An		N	25.496	25.648	378	377
CK95	C7Ar		R	25.648	25.823	379	377
CK95	C8			25.823	27.027	380	380
CK95	C8n.1n		N	25.823	25.951	381	380
CK95	C8n.1r		R	25.951	25.992	382	380
CK95	C8n.2n		N	25.992	26.554	383	380
CK95	C8r		R	26.554	27.027	384	380
CK95	C9			27.027	28.283	385	385
CK95	C9n		N	27.027	27.972	386	385
CK95	C9r		R	27.972	28.283	387	385
CK95	C10			28.283	29.401	388	388
CK95	C10n.1n		N	28.283	28.512	389	388
CK95	C10n.1r		R	28.512	28.578	390	388
CK95	C10n.2n		N	28.578	28.745	391	388
CK95	C10r		R	28.745	29.401	392	388
CK95	C11			29.401	30.479	393	393
CK95	C11n.1n		N	29.401	29.662	394	393
CK95	C11n.1r		R	29.662	29.765	395	393
CK95	C11n.2n		N	29.765	30.098	396	393
CK95	C11r		R	30.098	30.479	397	393
CK95	C12			30.479	33.058	398	398
CK95	C12n		N	30.479	30.939	399	398
CK95	C12r		R	30.939	33.058	400	398
CK95	C13			33.058	34.655	401	401
CK95	C13n		N	33.058	33.545	402	401
CK95	C13r		R	33.545	34.655	403	401
CK95	C15			34.655	35.343	404	404
CK95	C15n		N	34.655	34.940	405	404
CK95	C15r		R	34.940	35.343	406	404
CK95	C16			35.343	36.618	407	407
CK95	C16n.1n		N	35.343	35.526	408	407
CK95	C16n.1r		R	35.526	35.685	409	407
CK95	C16n.2n		N	35.685	36.341	410	407
CK95	C16r		R	36.341	36.618	411	407
CK95	C17			36.618	38.426	412	412
CK95	C17n.1n		N	36.618	37.473	413	412
CK95	C17n.1r		R	37.473	37.604	414	412
CK95	C17n.2n		N	37.604	37.848	415	412
CK95	C17n.2r		R	37.848	37.920	416	412
CK95	C17n.3n		N	37.920	38.113	417	412
CK95	C17r		R	38.113	38.426	418	412
CK95	C18			38.426	41.257	419	419
CK95	C18n.1n		N	38.426	39.552	420	419
CK95	C18n.1r		R	39.552	39.631	421	419
CK95	C18n.2n		N	39.631	40.130	422	419
CK95	C18r		R	40.130	41.257	423	419
CK95	C19			41.257	42.536	424	424
CK95	C19n		N	41.257	41.521	425	424
CK95	C19r		R	41.521	42.536	426	424
CK95	C20			42.536	46.264	427	427
CK95	C20n		N	42.536	43.789	428	427
CK95	C20r		R	43.789	46.264	429	427
CK95	C21			46.264	49.037	430	430
CK95	C21n		N	46.264	47.906	431	430
CK95	C21r		R	47.906	49.037	432	430
CK95	C22			49.037	50.778	433	433
CK95	C22n		N	49.037	49.714	434	433
CK95	C22r		R	49.714	50.778	435	433
CK95	C23			50.778	52.364	436	436
CK95	C23n.1n		N	50.778	50.946	437	436
CK95	C23n.1r		R	50.946	51.047	438	436
CK95	C23n.2n		N	51.047	51.743	439	436
CK95	C23r		R	51.743	52.364	440	436
CK95	C24			52.364	55.904	441	441
CK95	C24n.1n		N	52.364	52.663	442	441
CK95	C24n.1r		R	52.663	52.757	443	441
CK95	C24n.2n		N	52.757	52.801	444	441
CK95	C24n.2r		R	52.801	52.903	445	441
CK95	C24n.3n		N	52.903	53.347	446	441
CK95	C24r		R	53.347	55.904	447	441
CK95	C25			55.904	57.554	448	448
CK95	C25n		N	55.904	56.391	449	448
CK95	C25r		R	56.391	57.554	450	448
CK95	C26			57.554	60.920	451	451
CK95	C26n		N	57.554	57.911	452	451
CK95	C26r		R	57.911	60.920	453	451
CK95	C27			60.920	62.499	454	454
CK95	C27n		N	60.920	61.276	455	454
CK95	C27r		R	61.276	62.499	456	454
CK95	C28			62.499	63.976	457	457
CK95	C28n		N	62.499	63.634	458	457
CK95	C28r		R	63.634	63.976	459	457
CK95	C29			63.976	65.578	460	460
CK95	C29n		N	63.976	64.745	461	460
CK95	C29r		R	64.745	65.578	462	460
CK95	C30			65.578	67.735	463	463
CK95	C30n		N	65.578	67.610	464	463
CK95	C30r		R	67.610	67.735	465	463
CK95	C31			67.735	71.071	466	466
CK95	C31n		N	67.735	68.737	467	466
CK95	C31r		R	68.737	71.071	468	466
CK95	C32			71.071	73.619	469	469
CK95	C32n.1n		N	71.071	71.338	470	469
CK95	C32n.1r		R	71.338	71.587	471	469
CK95	C32n.2n		N	71.587	73.004	472	469
CK95	C32r.1r		R	73.004	73.291	473	469
CK95	C32r.1n		N	73.291	73.374	474	469
CK95	C32r.2r		R	73.374	73.619	475	469
CK95	C33			73.619	83.000	476	476
CK95	C33n		N	73.619	79.075	477	476
CK95	C33r		R	79.075	83.000	478	476
CK95	C34			83.000	118	479	479
CK95	C34n		N	83.000	118	480	479
Grad04	C1			0.000	1.778	1	1
Grad04	C1n	Brunhes	N	0.000	0.781	2	1
Grad04	C1r.1r	Matuyama	R	0.781	0.988	3	1
Grad04	C1r.1n	Jaramillo	N	0.988	1.072	4	1
Grad04	C1r.2r		R	1.072	1.173	5	1
Grad04	C1r.2n	Cobb Mountain	N	1.173	1.185	6	1
Grad04	C1r.3r		R	1.185	1.778	7	1
Grad04	C2			1.778	2.581	8	8
Grad04	C2n	Olduvai	N	1.778	1.945	9	8
Grad04	C2r.1r		R	1.945	2.128	10	8
Grad04	C2r.1n	Reunion	N	2.128	2.148	11	8
Grad04	C2r.2r	Matuyama	R	2.148	2.581	12	8
Grad04	C2A			2.581	4.187	13	13
Grad04	C2An.1n	Gauss	N	2.581	3.032	14	13
Grad04	C2An.1r	Kaena	R	3.032	3.116	15	13
Grad04	C2An.2n		N	3.116	3.207	16	13
Grad04	C2An.2r	Mammoth	R	3.207	3.330	17	13
Grad04	C2An.3n	Gauss	N	3.330	3.596	18	13
Grad04	C2Ar	Gilbert	R	3.596	4.187	19	13
Grad04	C3			4.187	6.033	20	20
Grad04	C3n.1n	Cochiti	N	4.187	4.300	21	20
Grad04	C3n.1r		R	4.300	4.493	22	20
Grad04	C3n.2n	Nunivak	N	4.493	4.631	23	20
Grad04	C3n.2r		R	4.631	4.799	24	20
